time,temp,humidity,pressure,windSpeed,windGust,windDirection,rainIntensity,rainVolume,wbgt,status
2026-09-16T00:00:00Z,16.45,2.237,,0.375,0.888,200.263,0.0,0.0,,Ok
2026-09-16T01:00:00Z,16.083,1.633,,0.325,0.833,176.667,0.0,0.0,,Ok
2026-09-16T02:00:00Z,16.033,1.5,,0.35,0.833,120.358,0.0,0.0,,Ok
2026-09-16T03:00:00Z,16.1,1.5,,0.292,0.725,143.475,0.0,0.0,,Ok
2026-09-16T04:00:00Z,15.742,1.55,,0.342,1.092,107.65,0.0,0.0,,Ok
2026-09-16T05:00:00Z,15.342,1.992,,0.333,0.85,148.142,0.0,0.0,,Ok
2026-09-16T06:00:00Z,15.333,2.042,,0.375,0.95,162.275,0.0,0.0,,Ok
2026-09-16T07:00:00Z,16.4,1.942,,0.458,1.167,168.033,0.0,0.0,,Ok
2026-09-16T08:00:00Z,18.025,2.208,,0.567,1.625,130.833,0.0,0.0,,Ok
2026-09-16T09:00:00Z,19.5,5.658,,0.625,1.75,113.133,0.0,0.0,,Ok
2026-09-16T10:00:00Z,20.75,5.858,,0.708,2.133,121.833,0.0,0.0,,Ok
2026-09-16T11:00:00Z,20.683,3.767,,0.733,2.325,121.158,0.0,0.0,,Ok
2026-09-16T12:00:00Z,20.492,2.942,,0.683,2.142,151.633,0.0,0.0,,Ok
2026-09-16T13:00:00Z,19.5,3.633,,0.692,1.983,128.8,0.0,0.0,,Ok
2026-09-16T14:00:00Z,19.742,3.567,,0.733,2.342,124.0,0.0,0.0,,Ok
2026-09-16T15:00:00Z,19.192,4.283,,0.675,2.25,98.942,0.0,0.0,,Ok
2026-09-16T16:00:00Z,18.767,5.667,,0.517,1.575,106.133,0.0,0.0,,Ok
2026-09-16T17:00:00Z,18.05,4.067,,0.467,1.333,151.85,0.0,0.0,,Ok
2026-09-16T18:00:00Z,17.467,3.8,,0.383,1.0,181.05,0.0,0.0,,Ok
2026-09-16T19:00:00Z,16.775,1.992,,0.442,1.225,196.95,0.0,0.0,,Ok
2026-09-16T20:00:00Z,16.633,1.775,,0.275,0.742,210.842,0.0,0.0,,Ok
2026-09-16T21:00:00Z,16.125,1.958,,0.375,0.975,210.992,0.0,0.0,,Ok
2026-09-16T22:00:00Z,15.267,2.308,,0.383,1.058,219.558,0.0,0.0,,Ok
2026-09-16T23:00:00Z,14.508,2.767,,0.35,0.917,210.583,0.0,0.0,,Ok
2026-09-17T00:00:00Z,13.942,3.217,,0.317,0.9,220.35,0.0,0.0,,Ok
2026-09-17T01:00:00Z,13.967,3.0,,0.367,1.075,213.15,0.0,0.0,,Ok
2026-09-17T02:00:00Z,14.15,3.0,,0.417,1.217,209.6,0.0,0.0,,Ok
2026-09-17T03:00:00Z,14.283,3.0,,0.458,1.35,206.225,0.0,0.0,,Ok
2026-09-17T04:00:00Z,14.367,3.0,,0.458,1.458,175.742,0.0,0.0,,Ok
2026-09-17T05:00:00Z,14.475,2.992,,0.408,1.125,203.625,0.0,0.0,,Ok
2026-09-17T06:00:00Z,14.617,2.9,,0.433,1.508,195.758,0.0,0.0,,Ok
2026-09-17T07:00:00Z,15.367,3.067,,0.542,1.608,201.983,0.0,0.0,,Ok
2026-09-17T08:00:00Z,17.025,2.458,,0.492,1.558,185.675,0.0,0.0,,Ok
2026-09-17T09:00:00Z,18.117,2.458,,0.5,1.733,170.833,0.0,0.0,,Ok
2026-09-17T10:00:00Z,18.983,3.792,,0.5,1.758,203.917,0.0,0.0,,Ok
2026-09-17T11:00:00Z,19.125,3.8,,0.508,1.808,201.517,0.0,0.0,,Ok
2026-09-17T12:00:00Z,18.333,3.408,,0.375,1.325,208.2,0.033,0.183,,Ok
2026-09-17T13:00:00Z,17.942,2.675,,0.367,1.258,206.408,0.0,0.4,,Ok
2026-09-17T14:00:00Z,17.325,2.3,,0.467,1.717,227.158,0.017,0.567,,Ok
2026-09-17T15:00:00Z,16.792,2.175,,0.492,1.525,203.4,0.117,1.1,,Ok
2026-09-17T16:00:00Z,16.075,2.0,,0.383,1.108,218.608,0.05,2.5,,Ok
2026-09-17T17:00:00Z,16.167,2.0,,0.408,1.283,218.508,0.0,2.6,,Ok
2026-09-17T18:00:00Z,15.658,1.925,,0.375,1.225,217.625,0.0,2.6,,Ok
2026-09-17T19:00:00Z,15.358,1.8,,0.35,1.067,218.133,0.0,2.6,,Ok
2026-09-17T20:00:00Z,15.492,1.8,,0.483,1.367,194.142,0.0,2.6,,Ok
2026-09-17T21:00:00Z,15.533,1.8,,0.475,1.358,208.833,0.0,2.6,,Ok
2026-09-17T22:00:00Z,15.092,1.883,,0.308,0.85,216.517,0.0,2.6,,Ok
2026-09-17T23:00:00Z,14.5,2.25,,0.308,0.858,197.283,0.0,2.6,,Ok
2026-09-18T00:00:00Z,14.1,2.375,,0.3,0.75,223.825,0.0,2.6,,Ok
