time,temp,humidity,pressure,windSpeed,windGust,windDirection,rainIntensity,rainVolume,wbgt,status
2026-09-15T07:00:00Z,20.3,1.15,,0.4,1.3,186.7,0.0,0.0,,Ok
2026-09-15T08:00:00Z,22.542,1.258,,0.383,1.133,178.875,0.0,0.0,,Ok
2026-09-15T09:00:00Z,25.125,1.5,,0.408,1.167,176.7,0.0,0.0,,Ok
2026-09-15T10:00:00Z,27.183,3.042,,0.517,1.508,178.633,0.0,0.0,,Ok
2026-09-15T11:00:00Z,26.908,3.042,,0.483,1.275,163.25,0.0,0.0,,Ok
2026-09-15T12:00:00Z,26.9,2.633,,0.4,1.1,169.983,0.0,0.0,,Ok
2026-09-15T13:00:00Z,26.883,2.308,,0.392,1.142,202.933,0.0,0.0,,Ok
2026-09-15T14:00:00Z,26.742,1.833,,0.658,1.925,155.158,0.0,0.0,,Ok
2026-09-15T15:00:00Z,24.917,1.292,,0.717,1.9,116.092,0.0,0.0,,Ok
2026-09-15T16:00:00Z,23.283,0.992,,0.558,2.058,118.25,0.0,0.0,,Ok
2026-09-15T17:00:00Z,21.742,0.933,,0.508,1.508,112.142,0.0,0.0,,Ok
2026-09-15T18:00:00Z,21.025,0.975,,0.433,1.008,110.508,0.0,0.0,,Ok
2026-09-15T19:00:00Z,20.517,1.142,,0.525,1.392,176.55,0.0,0.0,,Ok
2026-09-15T20:00:00Z,19.6,1.792,,0.625,1.558,129.4,0.0,0.0,,Ok
2026-09-15T21:00:00Z,18.508,2.875,,0.467,1.175,151.267,0.0,0.0,,Ok
2026-09-15T22:00:00Z,17.7,4.85,,0.417,0.975,193.917,0.0,0.0,,Ok
2026-09-15T23:00:00Z,17.175,5.133,,0.333,0.867,200.05,0.0,0.0,,Ok
2026-09-16T00:00:00Z,16.533,2.767,,0.358,0.867,200.233,0.0,0.0,,Ok
2026-09-16T01:00:00Z,16.083,1.633,,0.325,0.833,176.667,0.0,0.0,,Ok
2026-09-16T02:00:00Z,16.033,1.5,,0.35,0.833,120.358,0.0,0.0,,Ok
2026-09-16T03:00:00Z,16.1,1.5,,0.292,0.725,143.475,0.0,0.0,,Ok
2026-09-16T04:00:00Z,15.742,1.55,,0.342,1.092,107.65,0.0,0.0,,Ok
2026-09-16T05:00:00Z,15.342,1.992,,0.333,0.85,148.142,0.0,0.0,,Ok
2026-09-16T06:00:00Z,15.333,2.042,,0.375,0.95,162.275,0.0,0.0,,Ok
2026-09-16T07:00:00Z,16.4,1.942,,0.458,1.167,168.033,0.0,0.0,,Ok
2026-09-16T08:00:00Z,18.025,2.208,,0.567,1.625,130.833,0.0,0.0,,Ok
2026-09-16T09:00:00Z,19.5,5.658,,0.625,1.75,113.133,0.0,0.0,,Ok
2026-09-16T10:00:00Z,20.75,5.858,,0.708,2.133,121.833,0.0,0.0,,Ok
2026-09-16T11:00:00Z,20.683,3.767,,0.733,2.325,121.158,0.0,0.0,,Ok
2026-09-16T12:00:00Z,20.492,2.942,,0.683,2.142,151.633,0.0,0.0,,Ok
2026-09-16T13:00:00Z,19.5,3.633,,0.692,1.983,128.8,0.0,0.0,,Ok
2026-09-16T14:00:00Z,19.742,3.567,,0.733,2.342,124.0,0.0,0.0,,Ok
2026-09-16T15:00:00Z,19.192,4.283,,0.675,2.25,98.942,0.0,0.0,,Ok
2026-09-16T16:00:00Z,18.767,5.667,,0.517,1.575,106.133,0.0,0.0,,Ok
2026-09-16T17:00:00Z,18.05,4.067,,0.467,1.333,151.85,0.0,0.0,,Ok
2026-09-16T18:00:00Z,17.467,3.8,,0.383,1.0,181.05,0.0,0.0,,Ok
2026-09-16T19:00:00Z,16.775,1.992,,0.442,1.225,196.95,0.0,0.0,,Ok
2026-09-16T20:00:00Z,16.633,1.775,,0.275,0.742,210.842,0.0,0.0,,Ok
2026-09-16T21:00:00Z,16.125,1.958,,0.375,0.975,210.992,0.0,0.0,,Ok
2026-09-16T22:00:00Z,15.267,2.308,,0.383,1.058,219.558,0.0,0.0,,Ok
2026-09-16T23:00:00Z,14.508,2.767,,0.35,0.917,210.583,0.0,0.0,,Ok
2026-09-17T00:00:00Z,13.942,3.217,,0.317,0.9,220.35,0.0,0.0,,Ok
2026-09-17T01:00:00Z,13.967,3.0,,0.367,1.075,213.15,0.0,0.0,,Ok
2026-09-17T02:00:00Z,14.15,3.0,,0.417,1.217,209.6,0.0,0.0,,Ok
2026-09-17T03:00:00Z,14.283,3.0,,0.458,1.35,206.225,0.0,0.0,,Ok
2026-09-17T04:00:00Z,14.367,3.0,,0.458,1.458,175.742,0.0,0.0,,Ok
2026-09-17T05:00:00Z,14.475,2.992,,0.408,1.125,203.625,0.0,0.0,,Ok
2026-09-17T06:00:00Z,14.617,2.9,,0.433,1.508,195.758,0.0,0.0,,Ok
2026-09-17T07:00:00Z,15.188,3.013,,0.55,1.738,199.075,0.0,0.0,,Ok
